,name,vicinity,price_level_x,rating_x,types,user_ratings_total,lat,lng,categories,attributes,hours,url,cuisine,type_place,foods,types2
11,Oishii Japanese Ramen & Hibachi Grill,"515 Prince George Street, Williamsburg",1.0,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",404.0,37.2726197,-76.7080295,"['Sushi Bars', 'Japanese']",{},"[{'open': [{'is_overnight': False, 'start': '1200', 'end': '2000', 'day': 1}, {'is_overnight': False, 'start': '1200', 'end': '2000', 'day': 2}, {'is_overnight': False, 'start': '1200', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",https://www.yelp.com/biz/oishii-japanese-ramen-and-hibachi-grill-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['Japanese'],['Bars'],['Sushi'],[]
12,Amber Ox Public House,"525 Prince George Street Suite 102, Williamsburg",2.0,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",2975.0,37.272807,-76.708522,"['American', 'Breakfast, Brunch, Coffee', 'Bars']",{},"[{'open': [{'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1600', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1000', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",https://www.yelp.com/biz/amber-ox-public-house-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['American'],['Bars'],"['Breakfast, Brunch, Coffee']",[]
13,Wawa,"315 Richmond Road, Williamsburg",1.0,3.6,"['convenience_store', 'cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",143.0,37.27330499999999,-76.711658,"['Convenience Stores', 'Sandwiches', 'Fast Food']",{'menu_url': 'https://order.wawa.com/web/menu?utm_source=yelp&utm_medium=yelpprofiles&utm_campaign=2023yelpmenu'},"[{'open': [{'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 0}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 1}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 2}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 4}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 5}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/wawa-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,[],['Fast Food'],['Sandwiches'],"['store', 'cafe']"
14,Raleigh Tavern Bakery,"410 East Duke of Gloucester Street, Williamsburg",2.0,4.4,"['bakery', 'meal_takeaway', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",277.0,37.2718014,-76.6955516,['Bakeries'],{},"[{'open': [{'is_overnight': False, 'start': '0800', 'end': '1500', 'day': 0}, {'is_overnight': False, 'start': '1000', 'end': '1800', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '1600', 'day': 3}, {'is_overnight': False, 'start': '1000', 'end': '1800', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 5}, {'is_overnight': False, 'start': '0800', 'end': '1600', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/raleigh-tavern-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,[],['Bakeries'],[],"['store', 'bakery']"
15,College Delly,"336 Richmond Road, Williamsburg",1.0,4.1,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",418.0,37.2736912,-76.71233339999999,"['Pizza', 'Greek', 'Seafood']",{'menu_url': 'http://collegedelly.com/menu/'},"[{'open': [{'is_overnight': True, 'start': '1100', 'end': '0100', 'day': 3}, {'is_overnight': True, 'start': '1100', 'end': '0100', 'day': 4}, {'is_overnight': True, 'start': '1100', 'end': '0100', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/college-delly-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['Greek'],[],"['Seafood', 'Pizza']",['bar']
16,Illy Caffe,"435 West Duke of Gloucester Street, Williamsburg",2.0,4.2,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",459.0,37.2710742,-76.7071716,"['Bars', 'Cafes', 'Bars']",{},"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 4}, {'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 5}, {'is_overnight': False, 'start': '0700', 'end': '1800', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/illy-caffe-williamsburg-williamsburg-2?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,[],"['Cafes', 'Bars']",[],['cafe']
17,Mellow Mushroom Williamsburg,"110 South Henry Street, Williamsburg",2.0,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",2281.0,37.2701024,-76.70606939999999,"['Bars', 'Pizza', 'Sandwiches']",{'menu_url': 'https://mellowmushroom.com/location/va-williamsburg-110-s-henry-street-23185/'},"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/mellow-mushroom-williamsburg-6?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,[],['Bars'],"['Pizza', 'Sandwiches']",[]
18,The Hound's Tale,"515-200 Prince George Street, Williamsburg",2.0,4.4,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",576.0,37.27248139999999,-76.7077134,"['American', 'Bars', 'Tapas/Small Plates']",{'menu_url': 'http://www.thehoundstale.com/wp-content/uploads/2022/07/The-Hounds-Tale-20220720.pdf'},"[{'open': [{'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1600', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1600', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",https://www.yelp.com/biz/the-hounds-tale-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['American'],"['Tapas/Small Plates', 'Bars']",[],['bar']
19,The Bake Shop,"204 Armistead Avenue, Williamsburg",2.0,4.3,"['bakery', 'cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",230.0,37.2732459,-76.70905239999999,"['Bakeries', 'Bagels', 'Breakfast, Brunch, Coffee']","{'menu_url': 'https://www.baketheburg.com/menu', 'waitlist_reservation': False}","[{'open': [{'is_overnight': False, 'start': '0700', 'end': '1500', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '1500', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '1500', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '1500', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '1500', 'day': 4}, {'is_overnight': False, 'start': '0800', 'end': '1500', 'day': 5}, {'is_overnight': False, 'start': '0800', 'end': '1500', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/the-bake-shop-williamsburg-2?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,[],['Bakeries'],"['Breakfast, Brunch, Coffee']","['store', 'cafe', 'bakery']"
20,Rick's Cheese Steak Shop,"603 Prince George Street, Williamsburg",1.0,4.7,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1854.0,37.27341089999999,-76.7092104,"['Cheesesteaks', 'American', 'Breakfast, Brunch, Coffee']",{'menu_url': 'https://rickscheesesteakshopwmsbgva.com/menu.html'},"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '1900', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '1900', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '1900', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '1900', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '1800', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/ricks-cheese-steak-shop-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['American'],[],"['Breakfast, Brunch, Coffee', 'Sandwiches']",[]
21,Chick-fil-A,"249 Richmond Road, Williamsburg",1.0,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",357.0,37.2731282,-76.7110082,"['Fast Food', 'Chicken', 'Salad']",{},"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/chick-fil-a-williamsburg-6?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,[],['Fast Food'],"['Chicken', 'Salad']",[]
22,Culture Cafe,"747 Scotland Street, Williamsburg",2.0,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",559.0,37.2740024,-76.71216729999999,"['Breakfast, Brunch, Coffee', 'Burgers', 'Bars']","{'menu_url': 'https://www.culturecafeva.com/eat', 'waitlist_reservation': True}","[{'open': [{'is_overnight': False, 'start': '0800', 'end': '1600', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '1600', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '1600', 'day': 4}, {'is_overnight': False, 'start': '0800', 'end': '1600', 'day': 5}, {'is_overnight': False, 'start': '0800', 'end': '1600', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/culture-cafe-williamsburg-2?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,[],['Bars'],"['Breakfast, Brunch, Coffee', 'Burgers']",[]
23,Eagles Restaurant,"1010 Kingsmill Road, Williamsburg",2.0,4.4,"['restaurant', 'point_of_interest', 'food', 'establishment']",114.0,37.2257376,-76.66829779999999,['American'],{},[],https://www.yelp.com/biz/eagles-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['American'],[],[],[]
24,Five Forks Cafe,"4456 John Tyler Highway, Williamsburg",1.0,4.5,"['cafe', 'restaurant', 'point_of_interest', 'food', 'establishment']",685.0,37.2518902,-76.7664003,"['Diners', 'Southern', 'Burgers']",{'menu_url': 'https://www.5forkscafe.com/services'},"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '1400', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '1400', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '1400', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '1400', 'day': 4}, {'is_overnight': False, 'start': '0700', 'end': '1400', 'day': 5}, {'is_overnight': False, 'start': '0700', 'end': '1400', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/five-forks-cafe-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['Southern'],['Diners'],['Burgers'],['cafe']
25,Jamestown Pie Company,"1804 Jamestown Road, Williamsburg",2.0,4.5,"['bakery', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']",710.0,37.2390307,-76.7634504,"['Pizza', 'Desserts']",{'menu_url': 'http://www.buyapie.com/main/wp-content/uploads/2015/07/menu.pdf'},"[{'open': [{'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1000', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/jamestown-pie-company-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,[],[],"['Pizza', 'Desserts']","['store', 'bakery']"
26,Sushiya,"4511 John Tyler Highway, Williamsburg",2.0,4.2,"['restaurant', 'point_of_interest', 'food', 'establishment']",249.0,37.2518208,-76.76368219999999,"['Sushi Bars', 'Japanese']",{'menu_url': 'http://sushiya-restaurant.com/#menu'},"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '1430', 'day': 0}, {'is_overnight': False, 'start': '1700', 'end': '2030', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '1430', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2030', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '1430', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2030', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '1430', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2030', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '1430', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '2030', 'day': 4}, {'is_overnight': False, 'start': '1230', 'end': '2030', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '2030', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/sushiya-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['Japanese'],['Bars'],['Sushi'],[]
27,Two Sisters Pizzeria,"4506 John Tyler Highway, Williamsburg",1.0,4.3,"['restaurant', 'point_of_interest', 'food', 'establishment']",183.0,37.2530444,-76.7648653,"['Pizza', 'Halal']",{'menu_url': 'https://twosisterspizzeria.com/menu/'},"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/two-sisters-pizzeria-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,[],['Halal'],['Pizza'],[]
28,China Wok,"4496 John Tyler Highway, Williamsburg",1.0,3.7,"['restaurant', 'point_of_interest', 'food', 'establishment']",158.0,37.2530076,-76.7651673,['Chinese'],{},"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/china-wok-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['Chinese'],[],[],[]
29,McDonald's,"4521 John Tyler Highway, Williamsburg",1.0,3.5,"['cafe', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']",671.0,37.25241819999999,-76.7642142,"['Burgers', 'Fast Food', 'Breakfast, Brunch, Coffee']",{'menu_url': 'https://www.mcdonalds.com/us/en-us/full-menu.html?cid=PS:GCM_MOP:NB::Yelp:All'},"[{'open': [{'is_overnight': False, 'start': '0600', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '0600', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '0600', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '0600', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '0600', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '0600', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '0600', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/mcdonalds-williamsburg-8?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,[],['Fast Food'],"['Breakfast, Brunch, Coffee', 'Burgers']","['store', 'cafe']"
30,Old Chickahominy House,"1211 Jamestown Road, Williamsburg",2.0,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",865.0,37.2538981,-76.73253439999999,"['Southern', 'Breakfast, Brunch, Coffee']",{'menu_url': ''},"[{'open': [{'is_overnight': False, 'start': '0830', 'end': '1030', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '1415', 'day': 1}, {'is_overnight': False, 'start': '0830', 'end': '1030', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '1415', 'day': 2}, {'is_overnight': False, 'start': '0830', 'end': '1030', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '1415', 'day': 3}, {'is_overnight': False, 'start': '0830', 'end': '1030', 'day': 4}, {'is_overnight': False, 'start': '1145', 'end': '1415', 'day': 4}, {'is_overnight': False, 'start': '0830', 'end': '1015', 'day': 5}, {'is_overnight': False, 'start': '1145', 'end': '1415', 'day': 5}, {'is_overnight': False, 'start': '0830', 'end': '1015', 'day': 6}, {'is_overnight': False, 'start': '1145', 'end': '1415', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",https://www.yelp.com/biz/old-chickahominy-house-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['Southern'],[],"['Breakfast, Brunch, Coffee']",[]
31,La Tienda Tapas Bar,"1325 Jamestown Road, Williamsburg",1.0,4.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",441.0,37.2514223,-76.7348789,"['Spanish', 'Tapas Bars', 'Bars']",{'menu_url': 'https://www.tienda.com/support/la-barra-menu.html'},"[{'open': [{'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]",https://www.yelp.com/biz/la-tienda-tapas-bar-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['Spanish'],"['Tapas/Small Plates', 'Bars']",[],['bar']
32,Carrot Tree Kitchens,"1303 Jamestown Road, Williamsburg",2.0,4.4,"['bakery', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",529.0,37.2520554,-76.7349445,"['Breakfast, Brunch, Coffee', 'Soup', 'Wraps']",{'menu_url': ''},"[{'open': [{'is_overnight': False, 'start': '0800', 'end': '1730', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '1730', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '1730', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '1730', 'day': 4}, {'is_overnight': False, 'start': '0800', 'end': '1500', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/carrot-tree-kitchens-williamsburg-2?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,[],[],"['Wraps', 'Breakfast, Brunch, Coffee', 'Soup']","['store', 'cafe', 'bakery']"
33,Charly's Airport Restaurant,"100 Marclay Drive, Williamsburg",1.0,4.6,"['restaurant', 'point_of_interest', 'food', 'establishment']",394.0,37.2412062,-76.71782999999999,"['Sandwiches', 'American', 'Delis']",{'menu_url': 'http://www.charlysairportrestaurant.com/menu'},"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/charlys-airport-restaurant-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['American'],['Delis'],['Sandwiches'],[]
34,Pitchers Taphouse,"50 Kingsmill Road, Williamsburg",2.0,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",77.0,37.243444,-76.659055,"['Seafood', 'American', 'Bars']",{'menu_url': 'https://berrets.com/our-menus/'},"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '2030', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '2030', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '2030', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '2030', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '2030', 'day': 4}, {'is_overnight': False, 'start': '1130', 'end': '2030', 'day': 5}, {'is_overnight': False, 'start': '1130', 'end': '2030', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/berrets-seafood-restaurant-and-taphouse-grill-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['American'],['Bars'],['Seafood'],[]
35,Waypoint Seafood & Grill,"1480 Quarterpath Road, Williamsburg",3.0,4.6,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",675.0,37.2491667,-76.6855556,"['Seafood', 'American']",{'menu_url': 'https://www.waypointgrill.com/copy-of-dinner-menu'},"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/waypoint-seafood-and-grill-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['American'],[],['Seafood'],['bar']
