Name,Address,Price Level,Rating,Total Ratings,lat,lng,extra,hours,url,Cuisine,Attributes,Foods,mon,tues,wed,thurs,fri,sat,sun,mon_open,mon_close,tues_open,tues_close,wed_open,wed_close,thurs_open,thurs_close,fri_open,fri_close,sat_open,sat_close,sun_open,sun_close
Subway,"240 McLaws Circle #135, Williamsburg",1,4.2,176,37.2465532,-76.659282,{},"[{'open': [{'is_overnight': False, 'start': '0830', 'end': '2130', 'day': 0}, {'is_overnight': False, 'start': '0830', 'end': '2130', 'day': 1}, {'is_overnight': False, 'start': '0830', 'end': '2130', 'day': 2}, {'is_overnight': False, 'start': '0830', 'end': '2130', 'day': 3}, {'is_overnight': False, 'start': '0830', 'end': '2130', 'day': 4}, {'is_overnight': False, 'start': '0830', 'end': '2130', 'day': 5}, {'is_overnight': False, 'start': '0830', 'end': '2130', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/subway-williamsburg-27?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,[],['Fast Food'],['Sandwiches'],"[830, 2130]","[830, 2130]","[830, 2130]","[830, 2130]","[830, 2130]","[830, 2130]","[830, 2130]",830,2130,830,2130,830,2130,830,2130,830,2130,830,2130,830,2130
Harvest Grille,"50 Kingsmill Road, Williamsburg",2,2.6,16,37.2432603,-76.6587782,{},[],https://www.yelp.com/biz/harvest-grille-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,[],['Fast Food'],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,
Maurizio's Italian Restaurant,"264E McLaws Circle, Williamsburg",2,4.5,1436,37.2449193,-76.6582689,"{'menu_url': 'https://www.mauriziositalianwilliamsburg.com/menus/', 'waitlist_reservation': False}","[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/maurizios-ristorante-italiano-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['Italian'],[],"['Seafood', 'Pizza']","[1100, 2130]","[1100, 2130]","[1100, 2130]","[1100, 2130]","[1100, 2130]","[1100, 2130]","[1100, 2130]",1100,2130,1100,2130,1100,2130,1100,2130,1100,2130,1100,2130,1100,2130
Emerald Thai Cuisine,"264 McLaws Circle STE G, Williamsburg",2,4.3,321,37.2449441,-76.6584965,{},"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '1500', 'day': 0}, {'is_overnight': False, 'start': '1600', 'end': '2130', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '1500', 'day': 1}, {'is_overnight': False, 'start': '1600', 'end': '2130', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '1500', 'day': 2}, {'is_overnight': False, 'start': '1600', 'end': '2130', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '1500', 'day': 3}, {'is_overnight': False, 'start': '1600', 'end': '2130', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '1500', 'day': 4}, {'is_overnight': False, 'start': '1600', 'end': '2130', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '2130', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2130', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/emerald-thai-cuisine-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['Thai'],[],[],"[1130, 2130]","[1130, 2130]","[1130, 2130]","[1130, 2130]","[1130, 2130]","[1200, 2130]","[1200, 2130]",1130,2130,1130,2130,1130,2130,1130,2130,1130,2130,1200,2130,1200,2130
Sportsmans Grille,"240 McLaws Circle #154, Williamsburg",2,4.1,1312,37.24693289999999,-76.6596527,{'menu_url': 'http://sportsmansgrille.net/menu/'},"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/sportsmans-grille-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['American'],['Bars'],['Chicken'],"[1100, 2100]","[1100, 2100]","[1100, 2100]","[1100, 2100]","[1100, 2200]","[1100, 2200]","[1100, 2100]",1100,2100,1100,2100,1100,2100,1100,2100,1100,2200,1100,2200,1100,2100
Pizza Hut,"240 McLaws Circle #141, Williamsburg",1,3.4,296,37.2467596,-76.6591869,{'menu_url': 'http://pizzahut.com'},"[{'open': [{'is_overnight': False, 'start': '1000', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '1000', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '1000', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '1000', 'end': '0000', 'day': 3}, {'is_overnight': False, 'start': '1000', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1000', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1000', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/pizza-hut-williamsburg-7?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,[],"['Fast Food', 'Delivery']","['Pizza', 'Chicken']","[1000, 2400]","[1000, 2400]","[1000, 2400]","[1000, 2400]","[1000, 2400]","[1000, 2400]","[1000, 2400]",1000,2400,1000,2400,1000,2400,1000,2400,1000,2400,1000,2400,1000,2400
No 1 Restaurant,"1490 Quarterpath Road, Williamsburg",1,3.5,150,37.2491156,-76.6851359,{'menu_url': 'https://www.no1williamsburg.com/menu/'},"[{'open': [{'is_overnight': False, 'start': '1030', 'end': '2130', 'day': 1}, {'is_overnight': False, 'start': '1030', 'end': '2130', 'day': 2}, {'is_overnight': False, 'start': '1030', 'end': '2130', 'day': 3}, {'is_overnight': False, 'start': '1030', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1030', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1030', 'end': '2130', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/no-1-chinese-restaurant-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['Chinese'],[],[],,"[1030, 2130]","[1030, 2130]","[1030, 2130]","[1030, 2200]","[1030, 2200]","[1030, 2130]",,,1030,2130,1030,2130,1030,2130,1030,2200,1030,2200,1030,2130
McDonald's(2),"1901 Pocahontas Trail, Williamsburg",1,3,2092,37.2476952,-76.6583839,{'menu_url': 'https://www.mcdonalds.com/us/en-us/full-menu.html?cid=PS:GCM_MOP:NB::Yelp:All'},"[{'open': [{'is_overnight': False, 'start': '0600', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '0600', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '0600', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '0600', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '0600', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '0600', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '0600', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/mcdonalds-williamsburg-8?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,[],"['Fast Food', 'Store', 'Cafes']","['Breakfast, Brunch, Coffee', 'Burgers']","[600, 2300]","[600, 2300]","[600, 2300]","[600, 2300]","[600, 2300]","[600, 2300]","[600, 2300]",600,2300,600,2300,600,2300,600,2300,600,2300,600,2300,600,2300
Thai Tara Sushi & Bar,"240 McLaws Circle #117, Williamsburg",2,4.7,231,37.2463122,-76.6592912,{'menu_url': 'https://thaitarasushibar.com/williamsburg-thai-tara-sushi-and-bar-food-menu'},"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/thai-tara-sushi-and-bar-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,"['Japanese', 'Thai']",['Bars'],['Sushi'],"[1130, 2100]","[1130, 2100]","[1130, 2100]","[1130, 2100]","[1200, 2200]","[1200, 2200]","[1200, 2100]",1130,2100,1130,2100,1130,2100,1130,2100,1200,2200,1200,2200,1200,2100
Wendy's,"1907 Pocahontas Trail, Williamsburg",1,3.9,1249,37.24644959999999,-76.6573647,{'menu_url': 'https://menu.wendys.com'},"[{'open': [{'is_overnight': False, 'start': '1000', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1000', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1000', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1000', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1000', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1000', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1000', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/wendys-williamsburg-2?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,[],['Fast Food'],['Burgers'],"[1000, 2300]","[1000, 2300]","[1000, 2300]","[1000, 2300]","[1000, 2300]","[1000, 2300]","[1000, 2300]",1000,2300,1000,2300,1000,2300,1000,2300,1000,2300,1000,2300,1000,2300
La Terraza Mexican Grill,"264 McLaws Circle, Williamsburg",2,4.8,176,37.24469339999999,-76.6580703,{},"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/la-terraza-mexican-grill-williamsburg-2?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['Mexican'],[],[],"[1100, 2200]","[1100, 2200]","[1100, 2200]","[1100, 2200]","[1100, 2200]","[1100, 2130]","[1100, 2200]",1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2130,1100,2200
