Name,Address,Price Level,Rating,Total Ratings,lat,lng,extra,hours,url,Cuisine,Attributes,Foods,mon,tues,wed,thurs,fri,sat,sun,mon_open,mon_close,tues_open,tues_close,wed_open,wed_close,thurs_open,thurs_close,fri_open,fri_close,sat_open,sat_close,sun_open,sun_close
Blue Talon Bistro,"420 Prince George Street, Williamsburg",3,4.4,1479,37.2720392,-76.7067197,{'menu_url': 'https://www.bluetalonbistro.com/menus'},"[{'open': [{'is_overnight': False, 'start': '0800', 'end': '1030', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '1500', 'day': 0}, {'is_overnight': False, 'start': '1600', 'end': '2000', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '1030', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '1500', 'day': 3}, {'is_overnight': False, 'start': '1600', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '1030', 'day': 4}, {'is_overnight': False, 'start': '1130', 'end': '1500', 'day': 4}, {'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '0800', 'end': '1030', 'day': 5}, {'is_overnight': False, 'start': '1130', 'end': '1500', 'day': 5}, {'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '0800', 'end': '1030', 'day': 6}, {'is_overnight': False, 'start': '1130', 'end': '1500', 'day': 6}, {'is_overnight': False, 'start': '1600', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",https://www.yelp.com/biz/blue-talon-bistro-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,"['American', 'French']",['Bars'],[],"[800, 2000]",,,"[800, 2000]","[800, 2100]","[800, 2100]","[800, 2000]",800,2000,,,,,800,2000,800,2100,800,2100,800,2000
King's Arms Tavern,"416 East Duke of Gloucester Street, Williamsburg",3,4.6,1771,37.2712789,-76.6954215,{'menu_url': 'https://www.colonialwilliamsburghotels.com/content/uploads/2023/10/2023-KAT-Fall-Lunch-Menu.pdf'},"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 0}, {'is_overnight': False, 'start': '1630', 'end': '2000', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 3}, {'is_overnight': False, 'start': '1630', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 4}, {'is_overnight': False, 'start': '1630', 'end': '2000', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 5}, {'is_overnight': False, 'start': '1630', 'end': '2000', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 6}, {'is_overnight': False, 'start': '1630', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/kings-arms-tavern-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,"['Southern', 'American']",['Bars'],[],"[1100, 2000]",,,"[1100, 2000]","[1100, 2000]","[1100, 2000]","[1100, 2000]",1100,2000,,,,,1100,2000,1100,2000,1100,2000,1100,2000
Chowning's Tavern,"109 East Duke of Gloucester Street, Williamsburg",2,4.4,1890,37.2714667,-76.6991949,"{'menu_url': 'https://www.colonialwilliamsburghotels.com/dining/chownings-tavern/', 'waitlist_reservation': False}","[{'open': [{'is_overnight': False, 'start': '1100', 'end': '1700', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '1700', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '1700', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '1700', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '1700', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/chownings-tavern-williamsburg-2?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['American'],['Bars'],['Barbeque'],,"[1100, 1700]","[1100, 1700]","[1100, 1700]","[1100, 2000]","[1100, 2000]",,,,1100,1700,1100,1700,1100,1700,1100,2000,1100,2000,,
Berret's Seafood Restaurant and Taphouse Grill,"199 South Boundary Street, Williamsburg",2,4.5,2493,37.2698254,-76.7069361,{'menu_url': 'https://berrets.com/our-menus/'},"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '2030', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '2030', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '2030', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '2030', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '2030', 'day': 4}, {'is_overnight': False, 'start': '1130', 'end': '2030', 'day': 5}, {'is_overnight': False, 'start': '1130', 'end': '2030', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",https://www.yelp.com/biz/berrets-seafood-restaurant-and-taphouse-grill-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['American'],['Bars'],['Seafood'],"[1130, 2030]","[1130, 2130]","[1130, 2030]","[1130, 2030]","[1130, 2030]","[1130, 2030]","[1130, 2030]",1130,2030,1130,2130,1130,2030,1130,2030,1130,2030,1130,2030,1130,2030
Fat Canary,"410 West Duke of Gloucester Street, Williamsburg",4,4.6,627,37.2706514,-76.7061117,{'menu_url': 'http://www.fatcanarywilliamsburg.com/menu/'},"[{'open': [{'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",https://www.yelp.com/biz/fat-canary-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['American'],['Bars'],[],,,"[1700, 2100]","[1700, 2100]","[1700, 2100]","[1700, 2100]","[1700, 2100]",,,,,1700,2100,1700,2100,1700,2100,1700,2100,1700,2100
Green Leafe Cafe,"765 Scotland Street, Williamsburg",2,4.2,611,37.2741165,-76.7125473,{'menu_url': 'http://www.greenleafe.com/menu.html'},"[{'open': [{'is_overnight': True, 'start': '1600', 'end': '0100', 'day': 0}, {'is_overnight': True, 'start': '1600', 'end': '0100', 'day': 1}, {'is_overnight': True, 'start': '1600', 'end': '0100', 'day': 2}, {'is_overnight': True, 'start': '1600', 'end': '0100', 'day': 3}, {'is_overnight': True, 'start': '1600', 'end': '0100', 'day': 4}, {'is_overnight': True, 'start': '1600', 'end': '0100', 'day': 5}, {'is_overnight': True, 'start': '1600', 'end': '0100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",https://www.yelp.com/biz/green-leafe-cafe-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['American'],['Pubs'],[],"[1600, 2500]","[1600, 2500]","[1600, 2500]","[1600, 2500]","[1600, 2500]","[1600, 2500]","[1600, 2500]",1600,2500,1600,2500,1600,2500,1600,2500,1600,2500,1600,2500,1600,2500
Shields Tavern,"422 East Duke of Gloucester Street, Williamsburg",2,4.3,716,37.27129139999999,-76.6949578,{},"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 1}, {'is_overnight': False, 'start': '1600', 'end': '1900', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 2}, {'is_overnight': False, 'start': '1600', 'end': '1900', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 3}, {'is_overnight': False, 'start': '1600', 'end': '1900', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 4}, {'is_overnight': False, 'start': '1600', 'end': '1900', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 5}, {'is_overnight': False, 'start': '1600', 'end': '1900', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/shields-tavern-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['American'],['Bars'],[],,"[1100, 1900]","[1100, 1900]","[1100, 1900]","[1100, 1900]","[1100, 1900]",,,,1100,1900,1100,1900,1100,1900,1100,1900,1100,1900,,
Paul's Deli Restaurant,"761 Scotland Street, Williamsburg",2,4.1,897,37.274042,-76.712447,{'menu_url': ''},"[{'open': [{'is_overnight': True, 'start': '1030', 'end': '0200', 'day': 0}, {'is_overnight': True, 'start': '1030', 'end': '0200', 'day': 1}, {'is_overnight': True, 'start': '1030', 'end': '0200', 'day': 2}, {'is_overnight': True, 'start': '1030', 'end': '0200', 'day': 3}, {'is_overnight': True, 'start': '1030', 'end': '0200', 'day': 4}, {'is_overnight': True, 'start': '1030', 'end': '0200', 'day': 5}, {'is_overnight': True, 'start': '1030', 'end': '0200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/pauls-deli-downtown-williamsburg-3?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['American'],"['Delis', 'Bars', 'Store']",[],"[1030, 2600]","[1030, 2600]","[1030, 2600]","[1030, 2600]","[1030, 2600]","[1030, 2600]","[1030, 2600]",1030,2600,1030,2600,1030,2600,1030,2600,1030,2600,1030,2600,1030,2600
DoG Street Pub,"401 West Duke of Gloucester Street, Williamsburg",2,4.2,2196,37.2711628,-76.7059891,{'menu_url': 'http://www.dogstreetpub.com/menus/4566758045'},"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '2000', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1130', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",https://www.yelp.com/biz/dog-street-pub-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['British'],"['Pubs', 'Bars']",[],"[1130, 2000]",,,"[1130, 2000]","[1130, 2100]","[1130, 2100]","[1130, 2000]",1130,2000,,,,,1130,2000,1130,2100,1130,2100,1130,2000
Christiana Campbell's Tavern,"101 South Waller Street, Williamsburg",3,4.6,737,37.271653,-76.6914125,{'menu_url': 'https://www.colonialwilliamsburghotels.com/dining/christiana-campbells-tavern/'},"[{'open': [{'is_overnight': False, 'start': '1600', 'end': '2000', 'day': 1}, {'is_overnight': False, 'start': '1600', 'end': '2000', 'day': 2}, {'is_overnight': False, 'start': '1600', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '1600', 'end': '2000', 'day': 4}, {'is_overnight': False, 'start': '1600', 'end': '2000', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]",https://www.yelp.com/biz/christiana-campbells-tavern-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['American'],['Bars'],['Seafood'],,"[1600, 2000]","[1600, 2000]","[1600, 2000]","[1600, 2000]","[1600, 2000]",,,,1600,2000,1600,2000,1600,2000,1600,2000,1600,2000,,
Domino's Pizza,"1220 Richmond Road, Williamsburg",1,3.5,302,37.2798474,-76.7183742,{},"[{'open': [{'is_overnight': False, 'start': '1030', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '1030', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '1030', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '1030', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '1030', 'end': '0100', 'day': 4}, {'is_overnight': True, 'start': '1030', 'end': '0100', 'day': 5}, {'is_overnight': False, 'start': '1030', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/dominos-pizza-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,[],['Delivery'],"['Pizza', 'Chicken', 'Sandwiches']","[1030, 2400]","[1030, 2400]","[1030, 2400]","[1030, 2400]","[1030, 2500]","[1030, 2500]","[1030, 2400]",1030,2400,1030,2400,1030,2400,1030,2400,1030,2500,1030,2500,1030,2400
Oishii Japanese Ramen & Hibachi Grill,"515 Prince George Street, Williamsburg",1,4.4,404,37.2726197,-76.7080295,{},"[{'open': [{'is_overnight': False, 'start': '1200', 'end': '2000', 'day': 1}, {'is_overnight': False, 'start': '1200', 'end': '2000', 'day': 2}, {'is_overnight': False, 'start': '1200', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",https://www.yelp.com/biz/oishii-japanese-ramen-and-hibachi-grill-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['Japanese'],['Bars'],['Sushi'],,"[1200, 2000]","[1200, 2000]","[1200, 2000]","[1200, 2100]","[1200, 2100]","[1200, 2000]",,,1200,2000,1200,2000,1200,2000,1200,2100,1200,2100,1200,2000
Amber Ox Public House,"525 Prince George Street Suite 102, Williamsburg",2,4.6,2975,37.272807,-76.708522,{},"[{'open': [{'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1600', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1000', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",https://www.yelp.com/biz/amber-ox-public-house-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['American'],['Bars'],"['Breakfast, Brunch, Coffee']","[1600, 2100]",,"[1600, 2100]","[1600, 2100]","[1600, 2200]","[1000, 2200]","[1000, 2100]",1600,2100,,,1600,2100,1600,2100,1600,2200,1000,2200,1000,2100
Wawa,"315 Richmond Road, Williamsburg",1,3.6,143,37.27330499999999,-76.711658,{'menu_url': 'https://order.wawa.com/web/menu?utm_source=yelp&utm_medium=yelpprofiles&utm_campaign=2023yelpmenu'},"[{'open': [{'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 0}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 1}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 2}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 4}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 5}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/wawa-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,[],"['Fast Food', 'Store', 'Cafes']",['Sandwiches'],"[0, 2400]","[0, 2400]","[0, 2400]","[0, 2400]","[0, 2400]","[0, 2400]","[0, 2400]",0,2400,0,2400,0,2400,0,2400,0,2400,0,2400,0,2400
Raleigh Tavern Bakery,"410 East Duke of Gloucester Street, Williamsburg",2,4.4,277,37.2718014,-76.6955516,{},"[{'open': [{'is_overnight': False, 'start': '0800', 'end': '1500', 'day': 0}, {'is_overnight': False, 'start': '1000', 'end': '1800', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '1600', 'day': 3}, {'is_overnight': False, 'start': '1000', 'end': '1800', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 5}, {'is_overnight': False, 'start': '0800', 'end': '1600', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/raleigh-tavern-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,[],"['Bakeries', 'Store']",[],"[800, 1500]","[1000, 1800]","[1100, 1500]","[800, 1600]","[1000, 1800]","[900, 1800]","[800, 1600]",800,1500,1000,1800,1100,1500,800,1600,1000,1800,900,1800,800,1600
College Delly,"336 Richmond Road, Williamsburg",1,4.1,418,37.2736912,-76.7123334,{'menu_url': 'http://collegedelly.com/menu/'},"[{'open': [{'is_overnight': True, 'start': '1100', 'end': '0100', 'day': 3}, {'is_overnight': True, 'start': '1100', 'end': '0100', 'day': 4}, {'is_overnight': True, 'start': '1100', 'end': '0100', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/college-delly-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['Greek'],['Bars'],"['Seafood', 'Pizza']",,,,"[1100, 2500]","[1100, 2500]","[1100, 2500]",,,,,,,,1100,2500,1100,2500,1100,2500,,
Illy Caffe,"435 West Duke of Gloucester Street, Williamsburg",2,4.2,459,37.2710742,-76.7071716,{},"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 4}, {'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 5}, {'is_overnight': False, 'start': '0700', 'end': '1800', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/illy-caffe-williamsburg-williamsburg-2?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,[],"['Cafes', 'Bars']",[],"[700, 1900]","[700, 1900]","[700, 1900]","[700, 1900]","[700, 1900]","[700, 1900]","[700, 1800]",700,1900,700,1900,700,1900,700,1900,700,1900,700,1900,700,1800
Mellow Mushroom Williamsburg,"110 South Henry Street, Williamsburg",2,4.5,2281,37.2701024,-76.7060694,{'menu_url': 'https://mellowmushroom.com/location/va-williamsburg-110-s-henry-street-23185/'},"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/mellow-mushroom-williamsburg-6?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,[],['Bars'],"['Pizza', 'Sandwiches']","[1100, 2200]","[1100, 2200]","[1100, 2200]","[1100, 2200]","[1100, 2300]","[1100, 2300]","[1100, 2200]",1100,2200,1100,2200,1100,2200,1100,2200,1100,2300,1100,2300,1100,2200
The Hound's Tale,"515-200 Prince George Street, Williamsburg",2,4.4,576,37.27248139999999,-76.7077134,{'menu_url': 'http://www.thehoundstale.com/wp-content/uploads/2022/07/The-Hounds-Tale-20220720.pdf'},"[{'open': [{'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1600', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1600', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",https://www.yelp.com/biz/the-hounds-tale-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['American'],"['Tapas/Small Plates', 'Bars']",[],,"[1600, 2100]","[1600, 2100]","[1600, 2100]","[1600, 2200]","[1600, 2200]","[1600, 2100]",,,1600,2100,1600,2100,1600,2100,1600,2200,1600,2200,1600,2100
The Bake Shop,"204 Armistead Avenue, Williamsburg",2,4.3,230,37.2732459,-76.7090524,"{'menu_url': 'https://www.baketheburg.com/menu', 'waitlist_reservation': False}","[{'open': [{'is_overnight': False, 'start': '0700', 'end': '1500', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '1500', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '1500', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '1500', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '1500', 'day': 4}, {'is_overnight': False, 'start': '0800', 'end': '1500', 'day': 5}, {'is_overnight': False, 'start': '0800', 'end': '1500', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/the-bake-shop-williamsburg-2?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,[],"['Bakeries', 'Store', 'Cafes']","['Breakfast, Brunch, Coffee']","[700, 1500]","[700, 1500]","[700, 1500]","[700, 1500]","[700, 1500]","[800, 1500]","[800, 1500]",700,1500,700,1500,700,1500,700,1500,700,1500,800,1500,800,1500
Rick's Cheese Steak Shop,"603 Prince George Street, Williamsburg",1,4.7,1854,37.27341089999999,-76.7092104,{'menu_url': 'https://rickscheesesteakshopwmsbgva.com/menu.html'},"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '1900', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '1900', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '1900', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '1900', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '1800', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/ricks-cheese-steak-shop-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['American'],[],"['Breakfast, Brunch, Coffee', 'Sandwiches']","[1100, 1900]","[1100, 1900]","[1100, 1900]","[1100, 1900]","[1100, 2000]","[1100, 2000]","[1200, 1800]",1100,1900,1100,1900,1100,1900,1100,1900,1100,2000,1100,2000,1200,1800
Chick-fil-A,"249 Richmond Road, Williamsburg",1,4.3,357,37.2731282,-76.7110082,{},"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/chick-fil-a-williamsburg-6?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,[],['Fast Food'],"['Chicken', 'Salad']","[1100, 2000]","[1100, 2000]","[1100, 2000]","[1100, 2000]","[1100, 2000]","[1100, 2000]",,1100,2000,1100,2000,1100,2000,1100,2000,1100,2000,1100,2000,,
Culture Cafe,"747 Scotland Street, Williamsburg",2,4.4,559,37.2740024,-76.7121673,"{'menu_url': 'https://www.culturecafeva.com/eat', 'waitlist_reservation': True}","[{'open': [{'is_overnight': False, 'start': '0800', 'end': '1600', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '1600', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '1600', 'day': 4}, {'is_overnight': False, 'start': '0800', 'end': '1600', 'day': 5}, {'is_overnight': False, 'start': '0800', 'end': '1600', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/culture-cafe-williamsburg-2?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,[],['Bars'],"['Breakfast, Brunch, Coffee', 'Burgers']",,,"[800, 1600]","[800, 1600]","[800, 1600]","[800, 1600]","[800, 1600]",,,,,800,1600,800,1600,800,1600,800,1600,800,1600
Eagles Restaurant,"1010 Kingsmill Road, Williamsburg",2,4.4,114,37.2257376,-76.6682978,{},[],https://www.yelp.com/biz/eagles-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['American'],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,
